epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.569,1.99121,2.76562,1.26211,0.59714,0.32159,0.32117,0.1552,1.75513,1.62592,1.17587,0.00036744,0.00036744,0.00036744
2,311.673,1.75007,1.46799,1.16002,0.65813,0.41004,0.4076,0.22014,1.64001,1.31439,1.17375,0.000730469,0.000730469,0.000730469
3,412.465,1.69537,1.33204,1.14166,0.71277,0.3982,0.43482,0.23948,1.61194,1.30281,1.16359,0.00108617,0.00108617,0.00108617
4,579.759,1.68438,1.26476,1.13682,0.74297,0.40781,0.48465,0.25956,1.61712,1.14139,1.14829,0.001078,0.001078,0.001078
5,736.113,1.67332,1.20949,1.12618,0.75788,0.46635,0.52528,0.29362,1.60443,1.11539,1.13113,0.001067,0.001067,0.001067
6,841.753,1.6459,1.16984,1.11653,0.7941,0.45488,0.55497,0.31083,1.55364,1.0861,1.13114,0.00105601,0.00105601,0.00105601
7,1023.42,1.638,1.14628,1.1127,0.57683,0.54219,0.55351,0.30827,1.5723,1.10739,1.11378,0.00104501,0.00104501,0.00104501
8,1185.2,1.62451,1.10785,1.1098,0.64494,0.5485,0.59168,0.30851,1.63719,1.04506,1.14048,0.00103401,0.00103401,0.00103401
9,1390.82,1.6018,1.07841,1.09849,0.65873,0.56855,0.60842,0.34381,1.53432,0.98532,1.10583,0.00102301,0.00102301,0.00102301
10,1470.17,1.60395,1.05336,1.09268,0.65645,0.58012,0.61187,0.34696,1.53124,0.96604,1.09761,0.00101201,0.00101201,0.00101201
11,1558.93,1.59787,1.04601,1.09474,0.67026,0.59234,0.63242,0.35662,1.51713,0.95195,1.09222,0.00100101,0.00100101,0.00100101
12,1738.06,1.58391,1.03286,1.09295,0.67626,0.58886,0.64498,0.36596,1.54733,0.9622,1.10262,0.000990012,0.000990012,0.000990012
13,1840.96,1.57467,1.00867,1.08857,0.67109,0.595,0.63844,0.36494,1.51079,0.94318,1.08621,0.000979013,0.000979013,0.000979013
14,1940.43,1.5697,1.00087,1.08656,0.69412,0.61283,0.6536,0.37479,1.50351,0.91036,1.08456,0.000968014,0.000968014,0.000968014
15,2149.29,1.56625,0.98738,1.07843,0.70342,0.59893,0.66285,0.3739,1.52561,0.9495,1.09981,0.000957015,0.000957015,0.000957015
16,2369.05,1.55451,0.98243,1.07646,0.69661,0.61089,0.65644,0.37071,1.528,0.92602,1.09943,0.000946016,0.000946016,0.000946016
17,2500.79,1.56359,0.97276,1.0808,0.69628,0.61364,0.65969,0.37624,1.50789,0.90138,1.08384,0.000935018,0.000935018,0.000935018
18,2651.89,1.5544,0.96534,1.07547,0.72563,0.62332,0.68625,0.39817,1.48233,0.87974,1.07873,0.000924019,0.000924019,0.000924019
19,2747.94,1.54171,0.95108,1.07272,0.68955,0.6438,0.67578,0.38854,1.48257,0.86864,1.0783,0.00091302,0.00091302,0.00091302
20,2841.36,1.52804,0.94616,1.07365,0.71163,0.62437,0.67672,0.3876,1.48501,0.87978,1.0788,0.000902021,0.000902021,0.000902021
21,2994,1.53589,0.94414,1.07111,0.73241,0.6282,0.69068,0.39439,1.49737,0.85738,1.08533,0.000891022,0.000891022,0.000891022
22,3175.62,1.52926,0.93045,1.06557,0.73236,0.62624,0.69437,0.40623,1.46035,0.85289,1.07046,0.000880023,0.000880023,0.000880023
23,3340.19,1.53705,0.9386,1.07368,0.72201,0.63312,0.69749,0.39894,1.47483,0.90382,1.0763,0.000869024,0.000869024,0.000869024
24,3563.07,1.5313,0.92306,1.0659,0.71059,0.65309,0.70115,0.40697,1.47095,0.84704,1.07523,0.000858025,0.000858025,0.000858025
25,3650.12,1.52342,0.91658,1.06325,0.74047,0.63704,0.7064,0.4112,1.45731,0.82121,1.06973,0.000847026,0.000847026,0.000847026
26,3822.43,1.51973,0.91342,1.06675,0.72581,0.64962,0.70473,0.41758,1.45288,0.82975,1.06735,0.000836027,0.000836027,0.000836027
27,3967.47,1.51755,0.90229,1.05892,0.75193,0.63577,0.7096,0.42165,1.44348,0.81415,1.06701,0.000825029,0.000825029,0.000825029
28,4062.2,1.51149,0.90565,1.06047,0.73029,0.65447,0.71026,0.41791,1.44486,0.84271,1.06352,0.00081403,0.00081403,0.00081403
29,4168.67,1.51639,0.90423,1.0584,0.72628,0.64021,0.70171,0.4168,1.43632,0.83659,1.06128,0.000803031,0.000803031,0.000803031
30,4254.44,1.50958,0.90086,1.06042,0.7642,0.64664,0.723,0.42099,1.44601,0.81026,1.0578,0.000792032,0.000792032,0.000792032
31,4413.46,1.49972,0.8945,1.05738,0.73857,0.64117,0.70487,0.41633,1.44146,0.81429,1.06387,0.000781033,0.000781033,0.000781033
32,4595.69,1.49293,0.87768,1.05364,0.73504,0.65617,0.71933,0.42278,1.44305,0.80934,1.06112,0.000770034,0.000770034,0.000770034
33,4761.5,1.5016,0.88705,1.05272,0.7391,0.66319,0.71898,0.42644,1.4323,0.83368,1.05913,0.000759035,0.000759035,0.000759035
34,4945.98,1.49414,0.88249,1.05093,0.73678,0.67876,0.73222,0.43171,1.43641,0.79837,1.05528,0.000748036,0.000748036,0.000748036
35,5171.29,1.49387,0.87772,1.05046,0.73831,0.66349,0.71454,0.42495,1.4252,0.79003,1.0589,0.000737037,0.000737037,0.000737037
36,5300.93,1.48979,0.87647,1.05213,0.73287,0.67842,0.72531,0.43181,1.42654,0.79772,1.05557,0.000726038,0.000726038,0.000726038
37,5387.88,1.4868,0.87625,1.0514,0.72483,0.66736,0.7239,0.43135,1.42081,0.79218,1.04854,0.00071504,0.00071504,0.00071504
38,5542.09,1.49235,0.87413,1.04969,0.74371,0.67331,0.73611,0.4386,1.41014,0.78551,1.05022,0.000704041,0.000704041,0.000704041
39,5695.43,1.48625,0.86483,1.05175,0.75142,0.67314,0.73724,0.43641,1.42324,0.78582,1.05679,0.000693042,0.000693042,0.000693042
40,5880.12,1.47537,0.85347,1.0475,0.7433,0.66224,0.7302,0.437,1.42061,0.80117,1.04904,0.000682043,0.000682043,0.000682043
41,5975.43,1.47414,0.85851,1.04405,0.74436,0.68759,0.74608,0.44622,1.4139,0.77473,1.05018,0.000671044,0.000671044,0.000671044
42,6070.46,1.47234,0.85842,1.04805,0.74513,0.68995,0.74834,0.44583,1.41375,0.76336,1.0491,0.000660045,0.000660045,0.000660045
43,6233.4,1.47268,0.85094,1.04207,0.76973,0.67368,0.74866,0.44975,1.39897,0.76387,1.04319,0.000649046,0.000649046,0.000649046
44,6453.38,1.47038,0.84322,1.04179,0.7624,0.67513,0.74274,0.44101,1.40696,0.78237,1.04298,0.000638047,0.000638047,0.000638047
45,6546.16,1.47236,0.84365,1.04508,0.74848,0.68558,0.75298,0.4475,1.41877,0.78031,1.05117,0.000627048,0.000627048,0.000627048
46,6748.05,1.46995,0.84121,1.04474,0.75428,0.68252,0.75041,0.44936,1.40951,0.7771,1.04685,0.000616049,0.000616049,0.000616049
47,6913.24,1.4599,0.83585,1.03818,0.74832,0.68757,0.75596,0.45253,1.40015,0.77221,1.04098,0.000605051,0.000605051,0.000605051
